document_id,dataset_id,title,document_kind,source_url,local_path,sha256,content_type,extraction_notes
ahc-model__data-documentation__2617b90539,ahc-model,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahc-model/data-documentation,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,fa282c1e1e475760535d88676ced2551a04d3b5ce83f42eb9231f69cc14fdec2,text/html,
ahcah-hospital__data-documentation__4c60fb8567,ahcah-hospital,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahcah-hospital/data-documentation,data/raw/html/documentation_page/4c60fb85674dcfcd2336e84b45f08d6218aa76fa.html,847a0ea3ec5cc9bda5df591de1a6a7e692f26887d3d959a8e52fc6788f8bccd9,text/html,
ahcah-patient__data-documentation__995bd91472,ahcah-patient,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahcah-patient/data-documentation,data/raw/html/documentation_page/995bd914721a5979423878bb7fe55e7b1d831074.html,79fa72b06eed6d0b155fc3a69862aa065979aea8f8120f768732de8b84a00fa9,text/html,
cahps__data-documentation__3570c4650b,cahps,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cahps/data-documentation,data/raw/html/documentation_page/3570c4650bdf156c15f0805bed8e74399f214473.html,63e40f469cc546cd542bf6a387a7c157262e67d5e5c519178d24c07a652294fd,text/html,
carrier-encounter__data-documentation__fdf41704a5,carrier-encounter,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/carrier-encounter/data-documentation,data/raw/html/documentation_page/fdf41704a5479014ec2f0e238069edc3892c6599.html,b7990e9f270c30ed671c2e569bacfd3726bd0f81b7ef1a797a5a5574d4dba274,text/html,
carrier-ffs__data-documentation__1d94647469,carrier-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/carrier-ffs/data-documentation,data/raw/html/documentation_page/1d94647469e83d6f113be85ff63b3d64ecbcd28d.html,db2441c078bba744b7086a143e18937267f6dfbf5cda7fc2c1352e28dbb766bb,text/html,
cec-beneficiary__data-documentation__6a4e4b6ab9,cec-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cec-beneficiary/data-documentation,data/raw/html/documentation_page/6a4e4b6ab99daec6c86987e9164315c75ef600dc.html,fa8a4548380677362947be94b9ce9bac40657e8d139f9bdcf6e751dc192fa84e,text/html,
cec-provider__data-documentation__e5123a1795,cec-provider,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cec-provider/data-documentation,data/raw/html/documentation_page/e5123a1795316feb41120271adc8af7000686d48.html,e733281b21db5541b923f685ab7860fae937c43d49e1cd6349c9c38ba12c355f,text/html,
cmds-beneficiary__data-documentation__8b95768716,cmds-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmds-beneficiary/data-documentation,data/raw/html/documentation_page/8b957687160967ef616f1811d2948a4aa4fdbf19.html,44d070f25122afb6accf489c0c3f7c6dfbd5f54f3f4de2a7078181b48d098163,text/html,
cmds-entity__data-documentation__2e5244efce,cmds-entity,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmds-entity/data-documentation,data/raw/html/documentation_page/2e5244efce0233d468ea48269e61eadb991d0170.html,a09539fde7b68e6b7ad05d3fc0714ca6587377b71b66d16ba368e1b9815a87a2,text/html,
cmds-provider__data-documentation__89a050d3ee,cmds-provider,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmds-provider/data-documentation,data/raw/html/documentation_page/89a050d3eeaecbde9f3604180849d89b9fb097cf.html,aea71d10d455f0ad7591188827e0cb35157d2010f149b7b54318a954a0840910,text/html,
cmmi-model-data-sharing-cmds-model-participation-data-initiative__data-documentation__2ecfdf599e,cmmi-model-data-sharing-cmds-model-participation-data-initiative,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmmi-model-data-sharing-cmds-model-participation-data-initiative/data-documentation,data/raw/html/documentation_page/2ecfdf599ebc29a1d4ed68620f582c6cc6eb41a2.html,17ee8a5832a78b3b0d37d0ac5a9d61753a5cb4a34418bb340a051d5413a4b3d7,text/html,
dme-encounter__data-documentation__7a9e3ab95c,dme-encounter,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/dme-encounter/data-documentation,data/raw/html/documentation_page/7a9e3ab95c81408f2ef1644024e5ac09aae2fff6.html,5e7948c5e056de985ff96cc2ce966df892f3827e320d35475d551619190e5ad1,text/html,
dme-ffs__data-documentation__c76b7f2478,dme-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/dme-ffs/data-documentation,data/raw/html/documentation_page/c76b7f2478f9acd0d6b5bd4f4b0d553884a4a16d.html,3b61efdc3a02e9042e449f604b597303493957df97d04ec7d42813661be319a1,text/html,
hedis-rif-measures__data-documentation__f5cf468e32,hedis-rif-measures,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hedis-rif-measures/data-documentation,data/raw/html/documentation_page/f5cf468e325578e1687fefbed1bd684b7ce00a7e.html,840b34283964a5419c3b619e6190f31e2ffa25462a69ec45606ffad1e397a1ac,text/html,
hedis-rif-pcr-measure__data-documentation__823d2428ab,hedis-rif-pcr-measure,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hedis-rif-pcr-measure/data-documentation,data/raw/html/documentation_page/823d2428abf6133950c7a8a64106da3d3183ce9b.html,3750a75c03e08c0766c5f3c6a491036632660162fa2b081a40ba413cdb684779,text/html,
hedis-rif__data-documentation__8311ba3d2e,hedis-rif,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hedis-rif/data-documentation,data/raw/html/documentation_page/8311ba3d2ee7169a8025f8e6d9a93ea69cd23043.html,4de9b8fe33fb78628d3730ccce9ba4974b4463c0ef08a0ad7d517a98d61f122e,text/html,
hha-encounter__data-documentation__a07a075e59,hha-encounter,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hha-encounter/data-documentation,data/raw/html/documentation_page/a07a075e593b19d3ebc8b13f1dd8472d93c66d30.html,db8c737b90c9a966c00c412a1a4dbb5d8e259bf35a931b8fec0ca4a1f246d56e,text/html,
hha-ffs__data-documentation__7a39b31d66,hha-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hha-ffs/data-documentation,data/raw/html/documentation_page/7a39b31d66a1e4c8a9496eb67fda7c56df9bca35.html,028e8427a3f7b67676169433bdd28b63a3768f35eadcaf54adefd3ab3dfd0bb9,text/html,
hos-rif__data-documentation__0542c0b7ab,hos-rif,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hos-rif/data-documentation,data/raw/html/documentation_page/0542c0b7abdac4bf20763005b1206c23e5a31d19.html,f3ae712a64a714d468175ce0c3f0f7ad2cd0796c0da6e727a31e4c968b78c546,text/html,
hospice-ffs__data-documentation__04f4dcf507,hospice-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hospice-ffs/data-documentation,data/raw/html/documentation_page/04f4dcf5076501e9f5760cd735190c8954eeabeb.html,a5a9088b519380adbc31e73ce42050f39c611084c5575112c4ef63ed89f76144,text/html,
hrs-medicare__data-documentation__55ba11cf11,hrs-medicare,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hrs-medicare/data-documentation,data/raw/html/documentation_page/55ba11cf110dc253bf3277de91e56bcf4ca7f79f.html,98129861049ef84c77ee7a7b7b28c340f421ccbc706a0d5a73ca3fb0235c01d4,text/html,
ip-encounter__data-documentation__5852cefcaf,ip-encounter,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ip-encounter/data-documentation,data/raw/html/documentation_page/5852cefcaf4dca5dba3392a521caae7b6816e9f1.html,a2b863189bf41dca61504d02afde6bd5e89cd4827cff15cfa36ea6f03508fc3b,text/html,
ip-ffs__data-documentation__fcdee80764,ip-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ip-ffs/data-documentation,data/raw/html/documentation_page/fcdee80764dd59910f6190a9dd2c63ce3d8c2906.html,232e9aae14816c9db9ab69111f6eb9b7f6311fd9faac36b8163c1452f556153d,text/html,
irf-pai__data-documentation__ad92078087,irf-pai,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/irf-pai/data-documentation,data/raw/html/documentation_page/ad92078087fc9e9ebab9d2fb9b452c0a9d46aa23.html,8dc59f798ee49fc0503d39a39544c767b03d926842fdee863e03f6d85a8d0f63,text/html,
kcc-beneficiary__data-documentation__c7e5137b19,kcc-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/kcc-beneficiary/data-documentation,data/raw/html/documentation_page/c7e5137b197338051077371f471615690b82a8c7.html,3a8e0bf8231a06ee54281e87731d9d66cb340431f369bedc5458494511c9bac5,text/html,
kcc-provider__data-documentation__c4fa50334c,kcc-provider,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/kcc-provider/data-documentation,data/raw/html/documentation_page/c4fa50334c1175ef859ebe88ea9d6412a832ddc1.html,1de4a37fe43715ee179e958563e87e7d0aa9cf0cad827c05a9b6e0e59e58855d,text/html,
lcds__data-documentation__d03f5e35c4,lcds,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/lcds/data-documentation,data/raw/html/documentation_page/d03f5e35c48c181d6d320cd2dab0e8c632d90600.html,748f366050be26481ca7c50c1e8973822367de0c3fb1af4e9ce462601183650c,text/html,
max-ip__data-documentation__515e0f4b8a,max-ip,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-ip/data-documentation,data/raw/html/documentation_page/515e0f4b8a82429031028f6befb46024fb536839.html,e01bd750b63769bc38ccf507d3d77067e51320f0f7c370f8582ee7375c0b6fad,text/html,
max-lt__data-documentation__a8432c524b,max-lt,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-lt/data-documentation,data/raw/html/documentation_page/a8432c524b85150fc96bbb6683c157ef98a21669.html,a3c47f08c24af00a3c91995ab0f8acb9752043bcfa3aa53ba523f7990bf2dff2,text/html,
max-ot__data-documentation__cb6a1fe893,max-ot,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-ot/data-documentation,data/raw/html/documentation_page/cb6a1fe893be87f24ba21899636e73ef0ee381c1.html,168ef51ccb25a9289a8cb4b0fb4708852e0e8c51bd313babc45ff7966ddabc6e,text/html,
max-ps__data-documentation__ee72101e0e,max-ps,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-ps/data-documentation,data/raw/html/documentation_page/ee72101e0e61a1b62a9270b09d561b89f8152816.html,fe84842d3d71e9ffd148439f4f251046e7fa04c08e100c5e67aa6693c868b184,text/html,
max-rx__data-documentation__245e1542b6,max-rx,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-rx/data-documentation,data/raw/html/documentation_page/245e1542b60667a079cb2e389190d43128123fbf.html,b367c5ec3dd42c531e6e6bb64451c885ca3b839335442349519d80d7980c12e7,text/html,
mbisg__data-documentation__38b915f246,mbisg,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbisg/data-documentation,data/raw/html/documentation_page/38b915f246a9143b94c1fce3618ed3d184a9ff07.html,bf758b8f585d24ef849829c15d03a3eb960b2170196bdb8e4a0c1c2c6a02b497,text/html,
mbsf-27-cc__data-documentation__2b9d0b9108,mbsf-27-cc,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-27-cc/data-documentation,data/raw/html/documentation_page/2b9d0b9108c1a0a1122d15cc0b7b6b54dbdb5472.html,daa5e137cfe27797137d5079e9b96c301a274ad29a15a2f85a2b243ca475425e,text/html,
mbsf-30-cc__data-documentation__9e2ca0693b,mbsf-30-cc,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-30-cc/data-documentation,data/raw/html/documentation_page/9e2ca0693b3dbdcb0520118ea85e4cb91daa6b16.html,2f85205499980c9422bc70787de0bfd711e3a724dd93d64e2c985c16accbece0,text/html,
mbsf-base-v2__data-documentation__b91468f33f,mbsf-base-v2,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-base-v2/data-documentation,data/raw/html/documentation_page/b91468f33fb5b52e49387fc35c1714881709422e.html,0dead36db4041e2eb4cbd3f8d7247fa6ab65bb6c046be270344a5391ab1f98a3,text/html,
mbsf-base__data-documentation__40a74fab8a,mbsf-base,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-base/data-documentation,data/raw/html/documentation_page/40a74fab8ae8f274c1bc32c721391677d6a40df2.html,62a1b8f98f1b54694f4c3a183977e4fa3a1575d45796d14d61ae731c996984c9,text/html,
mbsf-cost-and-use__data-documentation__56c6b73e3a,mbsf-cost-and-use,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-cost-and-use/data-documentation,data/raw/html/documentation_page/56c6b73e3a16f39742a040f570ae1101a0db5d4a.html,4b49dedc9b421907eee1dcad09ef003f221ec52daf5f5433d9b4748e34be2a1d,text/html,
mbsf-ndi__data-documentation__3e2c6de343,mbsf-ndi,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-ndi/data-documentation,data/raw/html/documentation_page/3e2c6de343e763d4853bd71b6a39d6860c145fb8.html,63d2f2ce568c77a2190768c3c31e15ba2d1f97af5a5ddb6f8ece621f061abe1e,text/html,
mbsf-other-conditions__data-documentation__a5a68b101c,mbsf-other-conditions,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-other-conditions/data-documentation,data/raw/html/documentation_page/a5a68b101c9149eb5f1459b2813c233bfc0b09cc.html,4e325a9e86d7aaff0fe2a3743ee11d79723b176233a643bf10c5400f8fda7c59,text/html,
md-ppas__data-documentation__9da6c8835d,md-ppas,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/md-ppas/data-documentation,data/raw/html/documentation_page/9da6c8835d094b8ac763fa071d7ff3fa073244a0.html,44da05d743562b8c32453c299361856d0c516407eaa6b1930a397000e3e42b53,text/html,
mds-20__data-documentation__212d4acbdc,mds-20,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mds-20/data-documentation,data/raw/html/documentation_page/212d4acbdc4d2ff0f0387d6caa382348cc14e432.html,02692f649f5573e2f79b551a84a59916523649a051a17e383e19d93de823df88,text/html,
mds-30__data-documentation__4a3f17be70,mds-30,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mds-30/data-documentation,data/raw/html/documentation_page/4a3f17be70c5897dbbc31267e576f11357117b8b.html,156f2617f3c76ef855b2d864eb5921d3e5a0abe7962a2644eb57245716cac087,text/html,
mds-sb-20__data-documentation__073f2b4692,mds-sb-20,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mds-sb-20/data-documentation,data/raw/html/documentation_page/073f2b4692e1bedb9dbef02adf23af877bb97f9a.html,d9395d39700f8fba49033c236fb4c0308801d246c9dd6ef40041096a253063fd,text/html,
mds-sb-30__data-documentation__649cfc494d,mds-sb-30,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mds-sb-30/data-documentation,data/raw/html/documentation_page/649cfc494d3557dc1990361df165ccc29c01e5c5.html,73ba4d6f9f6fbcc6cb1d5ace2fd4e9aab7ab5f2ed2156f8116855d6e29bc00f5,text/html,
medpar__data-documentation__776a51d77c,medpar,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/medpar/data-documentation,data/raw/html/documentation_page/776a51d77c856d4766b5eb9e5457d692139041ce.html,5218b1431ac13c420ba43387599d109303d489d34b1fb91e91abab4bcabcae8a,text/html,
mesf-conditions__data-documentation__e252ae2091,mesf-conditions,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mesf-conditions/data-documentation,data/raw/html/documentation_page/e252ae2091db2798540dec6536db5aca3f78d6b2.html,97684f24952ac6a18f40126198004201ee94e9882e33e54a054bc6f97a88ccfd,text/html,
mesf-ndi__data-documentation__856a7e4838,mesf-ndi,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mesf-ndi/data-documentation,data/raw/html/documentation_page/856a7e4838643c566306030b513d1693d008b4c5.html,a049cb2826817f5568dea770a94069e6e26ebfe618f85bbdb80abb90f987aeb1,text/html,
million-hearts-model-alignment__data-documentation__48fc5d682b,million-hearts-model-alignment,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/million-hearts-model-alignment/data-documentation,data/raw/html/documentation_page/48fc5d682bc1c7af9247fa6777ca8daf93550d55.html,c05f935cdcd7e9ae72427113432e87ac63386e97960b69f5c4117d1f65597102,text/html,
million-hearts-model-beneficiary-demographic__data-documentation__895eae4a3a,million-hearts-model-beneficiary-demographic,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/million-hearts-model-beneficiary-demographic/data-documentation,data/raw/html/documentation_page/895eae4a3a6048f9a194064d52304b48b989ef93.html,054f60896b99e5fca059b1730dbe4ccdc76baab8d428168f61e1f18bd1b5cb1a,text/html,
million-hearts-model-final-clinical__data-documentation__e68acb1b3d,million-hearts-model-final-clinical,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/million-hearts-model-final-clinical/data-documentation,data/raw/html/documentation_page/e68acb1b3de2655f4c3f52d5a7407fca996e39d3.html,e4da906823c34719374750aed3c12babf3f99bc1e763ac4c8a4a41e83e648643,text/html,
million-hearts-model-practice-list__data-documentation__ef2a095405,million-hearts-model-practice-list,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/million-hearts-model-practice-list/data-documentation,data/raw/html/documentation_page/ef2a0954051ab868decb1ea31e3aa95aea747cde.html,d28e65a75558eb370c73c1485c26048b0e01f1b993677f0cafc446a05bdd50cc,text/html,
million-hearts-model-provider-list__data-documentation__b6e4194478,million-hearts-model-provider-list,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/million-hearts-model-provider-list/data-documentation,data/raw/html/documentation_page/b6e41944789cc97717066cf39b1d799460cdaabe.html,9cce04fe26da6914e51c6b36bd547a1f632f31a6e771a6177955942e8a50d65b,text/html,
million-hearts-model-raw-clinical__data-documentation__324991801e,million-hearts-model-raw-clinical,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/million-hearts-model-raw-clinical/data-documentation,data/raw/html/documentation_page/324991801e4f1b28b7838dcada3d35c60afd56e1.html,30ae663adb401e9002915f163c44298d348605cc70145ff0fa7ac2ca786a0878,text/html,
million-hearts-model-visit__data-documentation__1f3b44a193,million-hearts-model-visit,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/million-hearts-model-visit/data-documentation,data/raw/html/documentation_page/1f3b44a193ee97cae4f968a27927d3d117f6924b.html,b11c934b60ba859003e11eed71bb1b9244dc46c267beb92f97df518432620d63,text/html,
million-hearts__data-documentation__4c3fafd69b,million-hearts,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/million-hearts/data-documentation,data/raw/html/documentation_page/4c3fafd69b6a70b54e68061d2d78c2f36666ae94.html,e22d55ddfc3383f62730515f9af8f0c1bcec72f1eb60e9a8ff087606022a4363,text/html,
mmleads-2__data-documentation__eca4a89119,mmleads-2,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mmleads-2/data-documentation,data/raw/html/documentation_page/eca4a891199749817452ed1b1d35aa5a880ac4f3.html,ef7d0911105d8c75692123a398f12be8373245d8ba06982d8c54e7b2d2b99b32,text/html,
mmleads-3__data-documentation__94e426ac6d,mmleads-3,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mmleads-3/data-documentation,data/raw/html/documentation_page/94e426ac6df090203083bffc9a6b039975585c37.html,9c2e866e72faa8ffa736a1a8a79adf48db05e853430bde73ec1bf6bacff45600,text/html,
ngaco-beneficiary__data-documentation__0fc2b1e684,ngaco-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ngaco-beneficiary/data-documentation,data/raw/html/documentation_page/0fc2b1e68473fbe27627c6b2ac066fbab69d9d8c.html,a96bbdb6c9fce7a4a6d28bab15f38d299ef167168e35f240ecde7721c074986e,text/html,
ngaco-provider__data-documentation__a061a7bd7a,ngaco-provider,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ngaco-provider/data-documentation,data/raw/html/documentation_page/a061a7bd7ac896c6f3d6062bbc93d6aef05f2850.html,0d122f790f7b01fadd5b993595e4a62cff71cdcf2b4a2498cedab83cf640e876,text/html,
nhats__data-documentation__ec02548919,nhats,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/nhats/data-documentation,data/raw/html/documentation_page/ec02548919dc7981e0f338d9d4b8236dca7b6ee6.html,3c69e797a248f2dbda5c8d1a033111485c6c0a5c7b5d0268143e90aa93809548,text/html,
oasis__data-documentation__4b875ade54,oasis,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/oasis/data-documentation,data/raw/html/documentation_page/4b875ade545a448d64d89ac8a55a4acee1dc4708.html,ea1ad26324b589e477254ee05e489e0f1148e1be31c218d219e0ce57e9a40b76,text/html,
